datetime,signal_vrp_z,signal_skew_z,signal_concavity_z,composite_score,dte,entry_iv,spx_close,tp_pct,kelly_fraction
2020-02-14,-0.511327,0.506401,-0.966704,48.6551,26,0.121,3372.04,50,0.015
2020-02-21,0.051573,2.576539,-1.073898,55.9254,38,0.1481,3339.48,50,0.015
2020-02-24,0.541086,3.225922,-1.272631,59.1766,35,0.1901,3259.07,50,0.015
2020-02-25,1.777325,3.747935,-0.793929,63.6419,34,0.2085,3227.24,50,0.015
2020-02-26,1.736755,2.446801,0.043881,61.3174,33,0.2227,3162.55,50,0.015
2020-02-27,2.486462,3.930494,-1.275364,65.5392,32,0.293,3047.07,50,0.015
2020-02-28,4.0,4.0,-4.0,73.3964,31,0.5334,2956.52,50,0.015
2020-03-02,3.242139,4.0,-0.327748,64.7071,28,0.3601,2967.64,50,0.015
2020-03-03,0.057053,4.0,-1.870499,58.3763,27,0.2897,3084.98,50,0.015
2020-03-04,0.166666,4.0,-2.299375,57.2317,26,0.2913,3057.17,50,0.015
2020-03-05,1.028951,4.0,-1.614479,59.0469,25,0.32,3057.37,50,0.015
2020-03-06,2.819777,4.0,-1.444629,63.5387,31,0.4151,2937.52,50,0.015
2020-03-09,4.0,4.0,-3.016685,64.97,28,0.5086,2808.77,50,0.015
2020-03-10,2.393285,4.0,-0.966755,63.7121,27,0.4421,2842.63,50,0.015
2020-03-11,3.388653,4.0,-0.996842,68.5535,26,0.476,2807.7,50,0.015
2020-03-12,4.0,4.0,-3.8405,68.2718,25,0.6405,2549.73,50,0.015
2020-03-13,3.788264,4.0,-3.442687,68.3157,33,0.6316,2568.88,50,0.015
2020-03-16,4.0,3.65076,2.170722,72.1775,30,0.6948,2448.71,50,0.015
2020-03-17,4.0,4.0,-1.924479,69.5683,29,0.7606,2409.62,50,0.015
2020-03-18,4.0,4.0,1.075651,70.2313,28,0.6981,2435.12,50,0.015
2020-03-19,4.0,4.0,0.977774,69.7572,27,0.712,2423.37,50,0.015
2020-03-20,1.715874,3.45907,-2.604045,60.0705,26,0.5758,2405.66,50,0.015
2020-03-23,0.857185,4.0,-4.0,57.9415,38,0.545,2289.1,50,0.015
2020-03-24,-1.293572,3.3586,-2.788658,52.0864,29,0.4635,2368.12,50,0.015
2020-03-25,0.674735,3.734785,-2.070565,59.724,28,0.5829,2411.16,50,0.015
2020-03-26,-1.038308,3.714421,-4.0,54.5089,27,0.5411,2555.74,50,0.015
2020-03-27,-0.21372,4.0,-3.659913,57.0486,26,0.5802,2549.31,50,0.015
2020-03-30,-1.223527,4.0,-4.0,53.5762,31,0.5273,2573.17,50,0.015
2020-03-31,-2.388187,3.7846,-4.0,49.5801,29,0.4483,2630.1,50,0.015
2020-04-01,-2.01452,2.890271,-1.58567,50.3604,28,0.4848,2507.34,50,0.015
2020-04-02,-1.902787,2.689793,0.246195,51.6991,27,0.4887,2488.82,50,0.015
2020-04-03,-2.867393,2.456404,-1.177565,47.5346,26,0.429,2525.25,50,0.015
2020-04-06,-3.377783,2.408428,-0.721177,46.5085,32,0.3942,2602.68,50,0.015
2020-04-07,-3.756366,2.812173,-2.816289,44.7167,29,0.3882,2713.26,50,0.015
2020-04-08,-3.518395,2.310138,-2.028796,42.895,28,0.3964,2674.01,50,0.015
2020-04-09,-2.202394,1.895547,-1.815448,44.4317,27,0.3766,2797.78,50,0.015
2020-04-13,-1.982323,1.884815,-0.87016,44.7997,25,0.3936,2754.45,50,0.015
2020-04-14,-2.392941,1.443122,-1.031502,43.3671,29,0.3345,2833.69,50,0.015
2020-04-15,-1.76354,1.769513,-1.110984,45.5008,28,0.3755,2774.19,50,0.015
2020-04-16,-1.759268,1.750561,-0.622445,47.106,27,0.3757,2767.3,50,0.015
2020-04-17,-2.305299,1.546899,-0.860177,45.6284,26,0.3448,2849.09,50,0.015
2020-04-20,-2.194837,1.67566,-0.441392,47.404,39,0.3476,2845.47,50,0.015
2020-04-21,-0.728406,1.751453,-0.078266,50.5351,29,0.408,2771.57,50,0.015
2020-04-22,-0.825218,1.307823,-0.465633,48.9349,28,0.3925,2776.65,50,0.015
2020-04-23,-1.475643,1.371738,-0.542368,47.7508,27,0.3499,2824.46,50,0.015
2020-04-24,-0.841769,1.342734,-0.861802,48.9002,26,0.3496,2799.64,50,0.015
2020-04-27,-1.746189,1.288601,-1.148115,47.2755,32,0.2945,2862.64,50,0.015
2020-04-28,-2.016592,1.231095,-1.407032,46.5066,31,0.2766,2902.67,50,0.015
2020-04-29,-2.104146,1.261328,-1.39455,46.441,30,0.2647,2917.05,50,0.015
2020-04-30,-0.967046,1.379843,-1.941413,49.0484,29,0.2841,2922.86,50,0.015
2020-05-01,-4.0,-1.863,2.457347,38.8498,28,0.03124,2856.1,50,0.015
2020-05-04,-0.393749,1.140314,0.069732,51.5956,25,0.3389,2819.05,50,0.015
2020-05-08,-0.532506,0.706963,-0.150954,49.5024,31,0.2514,2916.21,50,0.015
2020-05-11,-0.446468,0.655879,-0.587673,49.4201,28,0.2494,2912.22,50,0.015
2020-05-12,-0.52948,0.630201,-0.700202,48.4696,27,0.2257,2927.05,50,0.015
2020-05-13,0.11835,0.932658,-1.288741,50.5348,26,0.2734,2859.39,50,0.015
2020-05-14,0.706357,1.059434,-1.575424,53.2216,25,0.338,2775.38,50,0.015
2020-05-19,-0.566425,0.826334,-1.241604,50.0149,29,0.2453,2957.98,50,0.015
2020-05-20,-0.709841,0.827581,-1.976443,49.1727,28,0.235,2974.29,50,0.015
2020-05-21,-0.54706,0.655108,-1.466086,49.5199,27,0.2414,2970.53,50,0.015
2020-05-22,-0.327763,0.537906,-0.353534,50.4401,26,0.2584,2934.71,50,0.015
2020-05-26,-0.711062,0.685563,-2.182947,48.2074,29,0.234,3008.03,50,0.015
2020-05-27,-0.642499,0.743209,-2.224743,48.5411,28,0.2351,3005.29,50,0.015
2020-05-28,-0.7233,0.794807,-2.191707,48.5057,27,0.2322,3046.11,50,0.015
2020-05-29,-0.600977,0.863872,-1.777739,49.2206,26,0.2432,3018.58,50,0.015
2020-06-01,-0.397456,0.974612,-1.437861,50.263,39,0.2418,3048.15,50,0.015
2020-06-02,-0.381013,0.837429,-1.231596,50.0786,45,0.2354,3064.03,50,0.015
2020-06-03,-0.445004,0.748699,-1.44473,49.2554,44,0.2241,3105.6,50,0.015
2020-06-04,-0.561728,0.528746,-1.19062,48.6087,43,0.2119,3119.55,50,0.015
2020-06-05,-0.771067,0.425176,-1.478009,47.8303,42,0.204,3184.38,50,0.015
2020-06-08,-0.644655,0.480728,-1.707712,48.2652,39,0.2108,3202.81,50,0.015
2020-06-09,-0.382243,0.627067,-1.627794,49.3307,38,0.2292,3193.43,50,0.015
2020-06-10,-0.228114,0.729196,-1.877962,49.832,37,0.2403,3192.35,50,0.015
2020-06-11,0.007934,0.787311,-1.425758,51.0392,36,0.2591,3113.24,50,0.015
2020-06-12,0.966739,1.466872,-1.952718,54.1845,35,0.303,3066.14,50,0.015
2020-06-15,1.232299,1.379598,-1.250306,55.1473,32,0.3222,3007.11,50,0.015
2020-06-16,-0.069352,0.949999,-2.097062,50.4159,31,0.2646,3147.72,50,0.015
2020-06-17,0.185763,1.024821,-1.565233,52.0363,30,0.2842,3124.49,50,0.015
2020-06-18,0.103094,0.94278,-1.217696,52.1744,29,0.2791,3113.93,50,0.015
2020-06-19,-0.249747,0.826518,-1.115581,50.8549,28,0.2553,3141.66,50,0.015
2020-06-22,0.045433,0.780913,-0.551903,51.7182,25,0.2751,3106.52,50,0.015
2020-06-23,-0.150123,0.826134,-1.043898,50.5786,29,0.2507,3140.92,50,0.015
2020-06-24,0.098466,0.700607,-0.278077,51.6979,28,0.2763,3090.31,50,0.015
2020-06-25,0.309534,0.66003,-0.263404,52.2823,27,0.291,3053.69,50,0.015
2020-06-26,0.27056,0.710074,-0.814717,51.8834,26,0.2863,3047.61,50,0.015
2020-06-29,0.258378,0.613835,-0.637488,51.7562,28,0.2844,3026.79,50,0.015
2020-06-30,-0.240491,0.36396,-0.068164,50.1325,27,0.253,3063.34,50,0.015
2020-07-01,-0.609397,0.37616,-0.460506,48.8185,26,0.2308,3118.27,50,0.015
2020-07-02,-0.983666,0.042051,-0.258169,47.2482,25,0.2078,3156.56,50,0.015
2020-07-17,-0.062048,0.37735,-0.966685,49.3946,31,0.2172,3218.04,50,0.015
2020-07-20,-0.174837,0.120658,-0.792992,48.3286,28,0.2078,3226.87,50,0.015
2020-07-21,-0.30548,0.059125,-0.635093,47.8113,27,0.1975,3271.02,50,0.015
2020-07-22,-0.159198,0.242003,-0.940961,48.59,26,0.2058,3263.86,50,0.015
2020-07-23,-0.152024,0.194385,-1.11133,48.5653,25,0.1948,3268.38,50,0.015
2020-07-24,0.15231,0.361124,-0.964905,50.1448,31,0.2205,3216.5,50,0.015
2020-07-27,-0.051961,0.22789,-0.675771,49.6094,28,0.2057,3232.2,50,0.015
2020-07-28,-0.09336,0.072289,0.233547,49.9666,27,0.1997,3231.88,50,0.015
2020-07-29,-0.073458,0.079228,-1.074426,49.1491,26,0.1983,3240.32,50,0.015
